dataset,model,question_type,source_file,relevance_mean,relevance_var,clarity_mean,clarity_var,answerability_mean,answerability_var,difficulty_mean,difficulty_var,overall_score_mean,overall_score_var
fiqa,gemma3_12b,predicted_inpair_query,test_text_evaluated.json,4.775,0.2449874686716792,4.14,0.3011528822055138,4.7225,0.321296992481203,2.89,0.13323308270676693,4.5675,0.3362844611528822
fiqa,gemma3_12b,predicted_base_query,test_text_evaluated.json,4.865,0.13711779448621553,4.1825,0.3149812030075188,4.8125,0.20285087719298245,2.86,0.17583959899749374,4.64,0.26105263157894737
fiqa,gemma3_12b,predicted_inpair_motivation_query,test_text_evaluated.json,4.76,0.3031578947368421,4.12,0.341453634085213,4.715,0.37972431077694235,2.88,0.15598997493734335,4.5625,0.36199874686716793
fiqa,llama3.1_8b,predicted_inpair_query,dev_text_evaluated.json,4.406148867313916,0.8049500150675419,4.143203883495145,0.36409142722377263,4.351941747572815,0.8970893439723281,2.870550161812298,0.34274334080159324,3.8001618122977345,0.3705586782490206
fiqa,llama3.1_8b,predicted_base_query,dev_text_evaluated.json,4.5283171521035595,0.5765254248391704,4.115695792880259,0.3323526328891684,4.409385113268608,0.7683005122964244,2.8737864077669903,0.3095633033292716,3.8508090614886736,0.2677321384117501
fiqa,llama3.1_8b,predicted_inpair_motivation_query,dev_text_evaluated.json,4.671521035598706,0.3891801946988457,4.1035598705501615,0.29210067738427475,4.5881877022653725,0.5015283728364975,2.896440129449838,0.25647314701990226,3.9302588996763754,0.18949661307862636
fiqa,llama3.1_8b,predicted_inpair_query,test_text_evaluated.json,4.455131964809384,0.6870995277628626,4.124926686217009,0.3452996571806204,4.370674486803519,0.7967920917489295,2.8686217008797654,0.29845731279170623,3.8166568914956014,0.2692529015736649
fiqa,llama3.1_8b,predicted_base_query,test_text_evaluated.json,4.496774193548387,0.6339391185824625,4.131964809384164,0.31649525697685627,4.391202346041056,0.7711666873184365,2.8668621700879764,0.2997521787617199,3.8516129032258064,0.27315614114796305
fiqa,llama3.1_8b,predicted_inpair_motivation_query,test_text_evaluated.json,4.688563049853372,0.30259799264796994,4.119061583577713,0.2856986493742514,4.619354838709677,0.41194911403907314,2.8826979472140764,0.22449506422700424,3.947683284457478,0.13284820949155343
nq,llama3.1_8b,predicted_inpair_query,test_text_evaluated.json,4.8575,0.23778822055137844,4.76,0.18786967418546366,4.825,0.3302005012531328,2.445,0.25260651629072683,4.8425,0.25332706766917296
nq,llama3.1_8b,predicted_base_query,test_text_evaluated.json,4.92,0.14897243107769423,4.8375,0.13643483709273183,4.9025,0.18846491228070175,2.3175,0.23728696741854638,4.9,0.16541353383458646
nq,llama3.1_8b,predicted_inpair_motivation_query,test_text_evaluated.json,4.8125,0.2830513784461153,4.67,0.2918295739348371,4.7875,0.3632518796992481,2.5425,0.2638533834586466,4.7925,0.2751315789473684
